"","Media","Aro1","Aro2","Aro3","Aro4","AA.0","AA.1","AA.2","AA.3","VN.0","VN.1","VN.2","AF.0","AF.2","AF.1","AF.3","TI.0","TI.1","TI.2","TI.3","VX.0","VX.1","VX.2","VX.3","VX.4","TD.0","TD.1","TD.2","CU.0","CU.1","AQ.0","AQ.1","AQ.2","SC.0","SC.1","SC.2","SC.3","RC1","RC2","RC3","RC4","RC5","RC6","RC7","RC8","RC9","RC10","RC11","RC12","RC13","Score","NFC.0","NFC.1","NFC.2","NFC.3","NFC.4","PKC.0","Gender","EDU","Aro3R","Aro4R","AA.1R","AF.2R","NFC.0R","NFC.1R"
"1",1,4,1,4,7,4,4,4,4,4,4,4,7,7,7,7,7,7,7,4,1,1,1,1,7,7,7,7,4,7,7,4,4,7,4,4,4,1,2,2,3,2,4,4,2,4,4,1,4,3,2,4,7,4,1,4,1,1,5,4,1,4,1,4,1
"2",1,4,3,4,4,4,3,3,4,3,3,4,3,4,3,4,4,3,4,4,3,4,4,3,3,4,4,4,3,3,5,5,3,4,4,3,3,2,1,3,3,2,1,2,2,2,2,2,1,2,2,4,4,5,5,4,4,1,2,4,4,5,4,4,4
"7",1,4,4,4,5,3,3,4,4,5,5,6,3,5,3,3,3,3,5,4,5,5,5,5,5,3,3,3,2,2,4,4,4,6,5,6,6,2,2,4,3,3,1,2,4,4,3,4,3,4,3,4,6,6,5,2,1,1,3,4,3,5,3,4,2
"8",1,5,2,7,4,3,2,4,2,2,7,5,3,3,3,3,4,3,3,2,7,4,7,7,6,2,2,2,2,2,4,3,3,7,7,7,7,2,1,3,3,1,3,2,1,1,1,1,1,1,5,4,4,4,2,4,2,2,2,1,4,6,5,4,4
"9",1,1,4,4,7,4,3,4,6,4,6,7,6,7,6,6,4,6,7,4,4,1,5,4,6,6,6,4,6,6,7,7,7,7,7,7,7,2,2,3,4,3,2,2,2,4,4,1,3,3,2,6,4,7,4,4,1,2,3,4,1,5,1,2,4
"10",1,6,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,1,1,4,7,7,6,7,7,7,7,7,7,7,7,7,2,3,3,2,2,1,1,3,2,2,2,4,4,5,7,7,7,6,1,4,2,3,3,1,1,1,1,1
"11",1,4,5,4,5,4,4,4,4,5,5,2,5,5,5,5,4,4,4,4,3,4,5,4,4,3,2,4,5,4,5,4,4,6,5,5,6,1,2,1,2,3,3,4,3,4,2,3,1,2,7,4,4,5,3,3,1,1,2,4,3,4,3,4,4
"13",1,5,5,6,7,1,1,1,1,4,4,7,5,6,5,7,2,1,1,1,5,5,6,5,6,1,1,2,2,2,2,2,2,7,5,6,6,2,1,2,2,2,4,2,4,4,1,2,4,3,5,6,6,6,5,3,1,2,2,2,1,7,2,2,2
"16",1,1,1,4,7,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,2,4,2,2,5,5,5,5,6,6,6,6,5,6,4,4,6,2,3,1,1,3,4,4,3,4,3,1,2,1,5,4,5,5,4,4,2,1,3,4,1,2,2,4,3
"17",1,5,5,5,6,5,6,5,5,6,6,6,6,6,6,6,6,6,6,5,5,7,7,7,7,7,7,7,6,6,6,6,5,7,4,5,5,1,1,2,2,4,4,4,4,4,3,4,4,2,4,5,4,5,3,5,1,2,4,3,2,2,2,3,4
"18",1,4,4,1,1,1,1,1,1,4,3,2,6,6,6,1,4,2,1,2,6,4,6,4,2,1,1,1,2,2,6,4,4,7,4,4,7,1,1,4,3,3,4,3,2,4,4,2,2,4,3,4,6,4,2,4,1,1,2,7,7,7,2,4,2
"19",1,3,2,3,3,2,2,2,4,6,7,5,2,3,1,3,5,5,3,2,6,3,6,5,5,2,2,1,2,2,5,3,5,6,6,6,7,2,1,1,2,3,2,4,3,4,2,2,2,3,7,2,3,2,2,5,1,2,4,5,5,6,5,6,5
